Rank,Country/Region,Electricity consumption(kW·h/yr) ,Year of Data,Source,Population,As of,Average electrical energy per capita(kWh per person per year),Average power per capita(watts per person)
—,World,"""21,776,088,770,300""",2014,CIA,"""7,322,811,468""",2016,"""2,674""",309
1, China,"""6,310,000,000,000""",2017,NEA[3],"""1,403,500,365""",2017,"""4,475""",510
2, United States,"""3,911,000,000,000""",2015 EST.,CIA,"""323,995,528""",2016,"""12,071""","""1,377"""
3, India,"""1,547,000,000,000""",2018,CSO[4],"""1,352,642,280""",2018,"""1,181""",260
4, Russia,"""1,065,000,000,000""",2014 EST.,CIA,"""142,355,415""",2016,"""7,481""",854
5, Japan,"""934,000,000,000""",2014 EST.,CIA,"""126,702,133""",2016,"""7,371""",841
6, Germany,"""533,000,000,000""",2014 EST.,CIA,"""80,722,792""",2016,"""6,602""",753
7, Canada,"""528,000,000,000""",2014 EST.,CIA,"""35,362,905""",2016,"""14,930""","""1,704"""
8, Brazil,"""518,000,000,000""",2014 EST.,CIA,"""205,823,665""",2016,"""2,516""",287
9,""" Korea, South""","""495,000,000,000""",2014 EST.,CIA,"""50,924,172""",2016,"""9,720""","""1,109"""
10, France,"""431,000,000,000""",2014 EST.,CIA,"""66,836,154""",2016,"""6,448""",736
11, United Kingdom,"""309,000,000,000""",2014 EST.,CIA,"""64,430,428""",2016,"""4,795""",547
12, Italy,"""291,000,000,000""",2014 EST.,CIA,"""62,007,540""",2016,"""4,692""",535
13, Saudi Arabia,"""272,000,000,000""",2014 EST.,CIA,"""28,160,273""",2016,"""9,658""","""1,102"""
14, Taiwan,"""249,500,000,000""",2015 EST.,CIA,"""23,464,787""",2016,"""10,632""","""1,213"""
15, Mexico,"""238,000,000,000""",2014 EST.,CIA,"""123,166,749""",2016,"""1,932""",220
16, Spain,"""234,000,000,000""",2014 EST.,CIA,"""48,563,476""",2016,"""4,818""",550
17, Australia,"""224,000,000,000""",2014 EST.,CIA,"""22,992,654""",2016,"""9,742""","""1,112"""
18, Indonesia,"""221,070,000,000""",2018 EST.,BPS (ID),"""258,316,051""",2016,"""1,058""",117
19, Iran,"""218,000,000,000""",2014 EST.,CIA,"""82,801,633""",2016,"""2,632""",300
20, South Africa,"""112,000,000,000""",2020 EST.,CIA,"""54,300,704""",2016,"""3,904""",445
21, Turkey,"""347,400,000,000""",2020 EST.,CIA,"""80,274,604""",2016,"""2,578""",294
22, Thailand,"""264,000,000,000""",2020 EST.,CIA,"""68,200,824""",2016,"""2,404""",274
23, Egypt,"""143,000,000,000""",2014 EST.,CIA,"""94,666,993""",2016,"""1,510""",172
24, Ukraine,"""143,000,000,000""",2014 EST.,CIA,"""44,209,733""",2016,"""3,234""",369
25, Poland,"""142,000,000,000""",2014 EST.,CIA,"""38,523,261""",2016,"""3,686""",420
26, Malaysia,"""131,000,000,000""",2014 EST.,CIA,"""30,949,962""",2016,"""4,232""",483
27, Sweden,"""127,000,000,000""",2014 EST.,CIA,"""9,880,604""",2016,"""12,853""","""1,467"""
28, Norway,"""126,400,000,000""",2014 EST.,CIA,"""5,265,158""",2016,"""24,006""","""2,740"""
29, Vietnam,"""125,000,000,000""",2014 EST.,CIA,"""95,261,021""",2016,"""1,312""",149
30, Argentina,"""116,000,000,000""",2014 EST.,CIA,"""43,886,748""",2016,"""2,643""",301
31, Netherlands,"""108,000,000,000""",2014 EST.,CIA,"""17,016,967""",2016,"""6,346""",724
32, United Arab Emirates,"""96,000,000,000""",2014 EST.,CIA,"""5,927,482""",2016,"""16,195""","""1,848"""
33, Philippines,"""94,370,000,000""",2017,DOE (PH)[5],"""102,624,209""",2016,885,101
34, Kazakhstan,"""91,000,000,000""",2014 EST.,CIA,"""18,360,353""",2016,"""4,956""",565
35, Pakistan,"""82,000,000,000""",2014 EST.,CIA,"""211,995,540""",2016,471,50
36, Finland,"""81,000,000,000""",2014 EST.,CIA,"""5,498,211""",2016,"""14,732""","""1,681"""
37, Belgium,"""81,000,000,000""",2014 EST.,CIA,"""11,409,077""",2016,"""7,099""",810
38, Venezuela,"""78,000,000,000""",2014 EST.,CIA,"""30,912,302""",2016,"""2,523""",288
39, Austria,"""69,750,000,000""",2015 EST.,CIA,"""8,711,770""",2016,"""8,006""",913
40, Chile,"""66,000,000,000""",2014 EST.,CIA,"""17,650,114""",2016,"""3,739""",426
41, Czech Republic,"""60,000,000,000""",2014 EST.,CIA,"""10,644,842""",2016,"""5,636""",643
42, Colombia,"""60,000,000,000""",2014 EST.,CIA,"""47,220,856""",2016,"""1,270""",145
43, Israel,"""59,830,000,000""",2014 EST.,CIA,"""8,174,527""",2016,"""7,319""",835
44,  Switzerland,"""58,000,000,000""",2014 EST.,CIA,"""8,179,294""",2016,"""7,091""",809
45, Bangladesh,"""55,500,000,000""",2015 EST.,CIA,"""157,826,578""",2017,351,40
46, Kuwait,"""54,000,000,000""",2014 EST.,CIA,"""2,832,776""",2016,"""19,062""","""2,176"""
47, Greece,"""53,000,000,000""",2014 EST.,CIA,"""10,773,253""",2016,"""4,919""",561
48, Algeria,"""49,000,000,000""",2014 EST.,CIA,"""40,263,711""",2016,"""1,216""",138
49, Romania,"""48,000,000,000""",2014 EST.,CIA,"""21,599,736""",2016,"""2,222""",253
50, Uzbekistan,"""48,000,000,000""",2014 EST.,CIA,"""29,473,614""",2016,"""1,628""",185
51, Singapore,"""47,180,000,000""",2014 EST.,CIA,"""5,781,728""",2016,"""8,160""",931
53, Portugal,"""46,000,000,000""",2014 EST.,CIA,"""10,833,816""",2016,"""4,245""",484
54, Hong Kong,"""42,000,000,000""",2014 EST.,CIA,"""7,167,403""",2016,"""5,859""",668
55, Iraq,"""42,000,000,000""",2014 EST.,CIA,"""38,146,025""",2016,"""1,101""",125
56, New Zealand,"""40,000,000,000""",2014 EST.,CIA,"""4,474,549""",2016,"""8,939""","""1,020"""
57, Peru,"""39,000,000,000""",2014 EST.,CIA,"""30,741,062""",2016,"""1,268""",144
58, Qatar,"""34,000,000,000""",2014 EST.,CIA,"""2,258,283""",2016,"""15,055""","""1,718"""
59, Belarus,"""33,000,000,000""",2014 EST.,CIA,"""9,570,376""",2016,"""3,448""",393
60, Denmark,"""32,000,000,000""",2014 EST.,CIA,"""5,593,785""",2016,"""5,720""",653
61, Bulgaria,"""31,000,000,000""",2014 EST.,CIA,"""7,144,653""",2016,"""4,338""",495
62, Morocco,"""29,000,000,000""",2014 EST.,CIA,"""33,655,786""",2016,861,98
63, Slovakia,"""28,360,000,000""",2014 EST.,CIA,"""5,445,802""",2016,"""5,207""",594
